Block,Plot,Ind.,dead_limbs,total_limbs,chart_ht_cm,dbh_cm,ht1_cm,ht2_cm,diam1_mm,diam2_mm,pct_brown,pct_dead_limbs
8,30,D,5,15,219,6,340,393,77.56,85,85,33.33333333333333
8,30,E,2,2,148,1.3,169,174,39.87,37,100,100
8,30,J,9,25,220,8,600,654,108.61,104,80,36
8,30,K,4,11,182,5.8,450,521,82.46,77,60,36.36363636363637
8,30,L,4,11,198,6.1,400,434,68.62,73,40,36.36363636363637
8,30,P,4,4,100,3.2,260,243,54.09,49,90,100
8,30,S,8,14,227,6.2,450,486,79.29,88,70,57.14285714285714
8,31,A,4,6,65,2,160,180,42.54,43,30,66.66666666666666
8,31,B,1,14,74,5.5,370,145,78.16,78,15,7.142857142857142
8,31,C,1,18,93,6.4,400,464,81.05,86,10,5.555555555555555
8,31,R,2,11,96,4.5,310,350,60.98,64,15,18.181818181818183
8,32,R,0,2,42,NA,102,119,39.18,42,75,0
9,33,L,4,4,170,4.1,280,336,66.96,69,95,100
9,33,P,3,7,164,4.2,300,340,61.54,66,60,42.857142857142854
9,33,Q,1,1,109,4.2,130,147,42.48,11,100,100
9,33,T,1,1,62,2.8,62,62,30.82,11,100,100
9,34,C,0,14,79,6.3,430,486,87.8,94,15,0
9,34,I,0,1,18,NA,28.000000000000004,33,28.67,25,50,0
9,34,J,2,8,104,4,320,370,61.22,66,60,25
9,34,N,4,22,102,6,450,574,74.58,80,70,18.181818181818183
9,34,O,0,1,120,1.9,181,177,46.14,42,90,0
9,34,P,1,13,115,7.6,530,494,93.42,99,20,7.6923076923076925
9,34,Q,3,19,99,8,490.00000000000006,568,95.28,108,50,15.789473684210526
9,34,S,3,21,110,6.5,490.00000000000006,539,83.68,82,30,14.285714285714285
9,34,T,3,14,105,7.2,440.00000000000006,498,83.82,86,30,21.428571428571427
9,35,S,8,15,143,3.5,257,277,54.42,64,75,53.333333333333336
10,37,A,0,6,95,4.9,360,416,63.37,71,50,0
10,37,B,2,3,133,3.7,270,405,57.94,60,80,66.66666666666666
10,37,C,0,15,137,7,430,310,80.13,90,60,0
10,37,D,8,10,210,5.9,370,413,71.88,75,70,80
10,37,E,1,2,76,2.8,227.99999999999997,253,51.05,47,50,50
10,37,F,2,3,88,3,231.99999999999997,261,47.91,49,80,66.66666666666666
10,37,I,0,2,56,3,194,239,43.8,49,70,0
10,37,J,2,9,86,4.8,350,462,65.87,67,30,22.22222222222222
10,37,N,0,2,90,NA,123,139,35.14,31,50,0
10,37,O,3,11,96,5.5,400,431,69.02,79,15,27.27272727272727
10,37,R,0,1,76,2.2,163,200,44.25,41,20,0
10,38,B,1,1,49,NA,49,49,32.19,31,100,100
10,38,Q,2,2,176,1.5,160,176,38.66,38,100,100
10,39,B,5,16,235,6,459.99999999999994,482,78.66,75,50,31.25
10,39,C,1,1,104,NA,105,104,42.63,40,100,100
10,39,F,10,16,185,4.9,430,469,63.6,62,80,62.5
10,39,I,2,13,240,7.3,520,552,97.89,104,30,15.384615384615385
10,39,P,7,16,175,7.3,500,560,92.68,99,30,43.75
10,39,S,3,13,200,5,370,425,66.1,69,15,23.076923076923077
10,40,E,0,26,47,8.5,550,625,106.8,114,15,0
