Plot,Ind.,pct_brown,dead_limbs,total_limbs,char_ht_cm,ht2_cm,tree_id,pct_dead_limbs,water_trt,veg_trt,alive,dead,survival,probe_ht,avg_max_temp,avg_s_abv_100,avg_heat_flux100,Treatment,avg_dry_wt,avg_fuel_moisture,avg_fuel_ht_cm,avg_litter_depth_cm,avg_flameht_cm
2,Q,1,1,18,58,510,6,5.555555555555555,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,Q,1,1,18,58,510,6,5.555555555555555,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,T,2,1,22,77,340,7,4.545454545454546,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,T,2,1,22,77,340,7,4.545454545454546,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,T,2,1,22,77,340,7,4.545454545454546,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
3,C,1,3,23,98,450,8,13.043478260869565,Drought,Reference,1,0,1,50cm,285.216,55.333333333333336,11691.663333333334,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,C,1,3,23,98,450,8,13.043478260869565,Drought,Reference,1,0,1,25cm,409.6153333333333,98.33333333333333,24144.46,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,C,1,3,23,98,450,8,13.043478260869565,Drought,Reference,1,0,1,0cm,351.5946666666666,153.5,47372.925,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,E,15,8,16,127,385,9,50,Drought,Reference,1,0,1,50cm,285.216,55.333333333333336,11691.663333333334,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,E,15,8,16,127,385,9,50,Drought,Reference,1,0,1,25cm,409.6153333333333,98.33333333333333,24144.46,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,E,15,8,16,127,385,9,50,Drought,Reference,1,0,1,0cm,351.5946666666666,153.5,47372.925,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,G,20,1,17,12,351,10,5.882352941176471,Drought,Reference,1,0,1,50cm,285.216,55.333333333333336,11691.663333333334,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,G,20,1,17,12,351,10,5.882352941176471,Drought,Reference,1,0,1,25cm,409.6153333333333,98.33333333333333,24144.46,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
3,G,20,1,17,12,351,10,5.882352941176471,Drought,Reference,1,0,1,0cm,351.5946666666666,153.5,47372.925,DN,40.28333333333333,14.273240438676027,26,1.6111111111111112,58.166666666666664
5,A,0.5,0,12,67,354,11,0,Ambient,Reference,1,0,1,50cm,215.11933333333334,82.5,14306.99,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,A,0.5,0,12,67,354,11,0,Ambient,Reference,1,0,1,25cm,331.6326666666667,76.33333333333333,16489.82,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,A,0.5,0,12,67,354,11,0,Ambient,Reference,1,0,1,0cm,523.4906666666667,240.66666666666666,63434.30333333333,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,B,15,2,4,110,177,12,50,Ambient,Reference,1,0,1,50cm,215.11933333333334,82.5,14306.99,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,B,15,2,4,110,177,12,50,Ambient,Reference,1,0,1,25cm,331.6326666666667,76.33333333333333,16489.82,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,B,15,2,4,110,177,12,50,Ambient,Reference,1,0,1,0cm,523.4906666666667,240.66666666666666,63434.30333333333,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,O,0,0,13,50,458,13,0,Ambient,Reference,1,0,1,50cm,215.11933333333334,82.5,14306.99,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,O,0,0,13,50,458,13,0,Ambient,Reference,1,0,1,25cm,331.6326666666667,76.33333333333333,16489.82,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
5,O,0,0,13,50,458,13,0,Ambient,Reference,1,0,1,0cm,523.4906666666667,240.66666666666666,63434.30333333333,AN,48.39,28.29540554634086,19.666666666666668,2.2222222222222223,21.5
6,B,20,0,1,47,81,14,0,Drought,Reference,1,0,1,50cm,321.9233333333333,60.333333333333336,13864.643333333333,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,B,20,0,1,47,81,14,0,Drought,Reference,1,0,1,25cm,375.30333333333334,80.5,24357.705,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,B,20,0,1,47,81,14,0,Drought,Reference,1,0,1,0cm,511.0953333333333,94,25573.386666666665,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,G,20,1,4,146,291,15,25,Drought,Reference,1,0,1,50cm,321.9233333333333,60.333333333333336,13864.643333333333,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,G,20,1,4,146,291,15,25,Drought,Reference,1,0,1,25cm,375.30333333333334,80.5,24357.705,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,G,20,1,4,146,291,15,25,Drought,Reference,1,0,1,0cm,511.0953333333333,94,25573.386666666665,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,R,1,0,14,95,500,16,0,Drought,Reference,1,0,1,50cm,321.9233333333333,60.333333333333336,13864.643333333333,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,R,1,0,14,95,500,16,0,Drought,Reference,1,0,1,25cm,375.30333333333334,80.5,24357.705,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
6,R,1,0,14,95,500,16,0,Drought,Reference,1,0,1,0cm,511.0953333333333,94,25573.386666666665,DN,46.39666666666667,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667
7,B,1,1,17,121,564,17,5.882352941176471,Ambient,Invaded,1,0,1,50cm,378.348,92,19924.90666666667,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,B,1,1,17,121,564,17,5.882352941176471,Ambient,Invaded,1,0,1,25cm,654.3593333333333,91.33333333333333,30930.366666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,B,1,1,17,121,564,17,5.882352941176471,Ambient,Invaded,1,0,1,0cm,536.22,123.33333333333333,32037.186666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,G,45,3,5,168,253,18,60,Ambient,Invaded,1,0,1,50cm,378.348,92,19924.90666666667,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,G,45,3,5,168,253,18,60,Ambient,Invaded,1,0,1,25cm,654.3593333333333,91.33333333333333,30930.366666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,G,45,3,5,168,253,18,60,Ambient,Invaded,1,0,1,0cm,536.22,123.33333333333333,32037.186666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,M,5,1,8,162,360,19,12.5,Ambient,Invaded,1,0,1,50cm,378.348,92,19924.90666666667,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,M,5,1,8,162,360,19,12.5,Ambient,Invaded,1,0,1,25cm,654.3593333333333,91.33333333333333,30930.366666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
7,M,5,1,8,162,360,19,12.5,Ambient,Invaded,1,0,1,0cm,536.22,123.33333333333333,32037.186666666665,AC,52.95,13.862508564135224,33.666666666666664,4.111111111111111,74.33333333333333
10,C,15,0,1,23,39,20,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,C,15,0,1,23,39,20,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,C,15,0,1,23,39,20,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,D,100,1,1,49,51,21,100,Ambient,Reference,0,1,0,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,D,100,1,1,49,51,21,100,Ambient,Reference,0,1,0,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,D,100,1,1,49,51,21,100,Ambient,Reference,0,1,0,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,E,1,0,10,50,280,22,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
