Plot,tree_id,Treatment,veg_trt,water_trt,probe_ht,pct_brown,dead_limbs,total_limbs,char_ht_cm,tree_height_cm,pct_dead_limbs,alive,dead,survival,avg_max_tempC,avg_s_abv_100,avg_heat_flux100,avg_pct_fuel_moisture,avg_fuel_ht_cm,avg_litter_depth_cm,avg_flameht_cm,fuels_kg
1,1S,Drought + Invasion,Invasion,Drought,50cm,45,4,14,182,405,28.571428571428573,1,0,1,372.5226666666667,86,20081.396666666667,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334,1.0266133333333334
1,1S,Drought + Invasion,Invasion,Drought,25cm,45,4,14,182,405,28.571428571428573,1,0,1,494.4786666666667,105,26363.073333333334,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334,1.0266133333333334
1,1S,Drought + Invasion,Invasion,Drought,0cm,45,4,14,182,405,28.571428571428573,1,0,1,395.9053333333333,118.5,31271.760000000002,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334,1.0266133333333334
2,2C,Reference,Reference,Reference,50cm,10,0,1,75,203,0,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2C,Reference,Reference,Reference,25cm,10,0,1,75,203,0,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2C,Reference,Reference,Reference,0cm,10,0,1,75,203,0,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2D,Reference,Reference,Reference,50cm,10,1,5,122,389,20,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2D,Reference,Reference,Reference,25cm,10,1,5,122,389,20,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2D,Reference,Reference,Reference,0cm,10,1,5,122,389,20,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2F,Reference,Reference,Reference,50cm,1,0,9,82,464,0,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2F,Reference,Reference,Reference,25cm,1,0,9,82,464,0,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2F,Reference,Reference,Reference,0cm,1,0,9,82,464,0,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2G,Reference,Reference,Reference,50cm,1,2,19,77,467,10.526315789473685,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2G,Reference,Reference,Reference,25cm,1,2,19,77,467,10.526315789473685,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2G,Reference,Reference,Reference,0cm,1,2,19,77,467,10.526315789473685,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2Q,Reference,Reference,Reference,50cm,1,1,18,58,510,5.555555555555555,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2Q,Reference,Reference,Reference,25cm,1,1,18,58,510,5.555555555555555,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2Q,Reference,Reference,Reference,0cm,1,1,18,58,510,5.555555555555555,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2T,Reference,Reference,Reference,50cm,2,1,22,77,340,4.545454545454546,1,0,1,224.014,52.666666666666664,8387.323333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2T,Reference,Reference,Reference,25cm,2,1,22,77,340,4.545454545454546,1,0,1,211.82533333333333,94.5,17117.690000000002,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
2,2T,Reference,Reference,Reference,0cm,2,1,22,77,340,4.545454545454546,1,0,1,450.4566666666667,88,23048.68666666667,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664,0.6294933333333333
3,3C,Drought,Reference,Drought,50cm,1,3,23,98,450,13.043478260869565,1,0,1,285.216,55.333333333333336,11691.663333333334,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3C,Drought,Reference,Drought,25cm,1,3,23,98,450,13.043478260869565,1,0,1,409.6153333333333,98.33333333333333,24144.46,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3C,Drought,Reference,Drought,0cm,1,3,23,98,450,13.043478260869565,1,0,1,351.5946666666666,153.5,47372.925,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3E,Drought,Reference,Drought,50cm,15,8,16,127,385,50,1,0,1,285.216,55.333333333333336,11691.663333333334,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3E,Drought,Reference,Drought,25cm,15,8,16,127,385,50,1,0,1,409.6153333333333,98.33333333333333,24144.46,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3E,Drought,Reference,Drought,0cm,15,8,16,127,385,50,1,0,1,351.5946666666666,153.5,47372.925,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3G,Drought,Reference,Drought,50cm,20,1,17,12,351,5.882352941176471,1,0,1,285.216,55.333333333333336,11691.663333333334,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3G,Drought,Reference,Drought,25cm,20,1,17,12,351,5.882352941176471,1,0,1,409.6153333333333,98.33333333333333,24144.46,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
3,3G,Drought,Reference,Drought,0cm,20,1,17,12,351,5.882352941176471,1,0,1,351.5946666666666,153.5,47372.925,14.273240438676027,26,1.6111111111111112,58.166666666666664,0.6445333333333333
5,5A,Reference,Reference,Reference,50cm,0.5,0,12,67,354,0,1,0,1,215.11933333333334,82.5,14306.99,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5A,Reference,Reference,Reference,25cm,0.5,0,12,67,354,0,1,0,1,331.6326666666667,76.33333333333333,16489.82,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5A,Reference,Reference,Reference,0cm,0.5,0,12,67,354,0,1,0,1,523.4906666666667,240.66666666666666,63434.30333333333,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5B,Reference,Reference,Reference,50cm,15,2,4,110,177,50,1,0,1,215.11933333333334,82.5,14306.99,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5B,Reference,Reference,Reference,25cm,15,2,4,110,177,50,1,0,1,331.6326666666667,76.33333333333333,16489.82,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5B,Reference,Reference,Reference,0cm,15,2,4,110,177,50,1,0,1,523.4906666666667,240.66666666666666,63434.30333333333,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5O,Reference,Reference,Reference,50cm,0,0,13,50,458,0,1,0,1,215.11933333333334,82.5,14306.99,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5O,Reference,Reference,Reference,25cm,0,0,13,50,458,0,1,0,1,331.6326666666667,76.33333333333333,16489.82,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
5,5O,Reference,Reference,Reference,0cm,0,0,13,50,458,0,1,0,1,523.4906666666667,240.66666666666666,63434.30333333333,28.29540554634086,19.666666666666668,2.2222222222222223,21.5,0.77424
6,6B,Drought,Reference,Drought,50cm,20,0,1,47,81,0,1,0,1,321.9233333333333,60.333333333333336,13864.643333333333,28.136407147139053,20.444444444444443,2.7777777777777777,94.16666666666667,0.7423466666666667
